                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2401,                 1.1049,                 1.7438,                0.81179,                0.69048,                0.76542,                0.49985,                 1.1934,                 1.2288,                 1.9302,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.1816,                 1.0556,                 1.7123,                0.76981,                0.71666,                0.81408,                0.54487,                 1.0557,                 1.6859,                 1.7731,               0.001307,               0.001307,               0.001307
                     37,                 1.1784,                 1.0624,                 1.6968,                0.93914,                0.73485,                0.79586,                0.61874,                0.99651,                0.99883,                 1.7773,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.1523,                 1.0148,                  1.684,                0.88326,                0.67857,                0.76536,                 0.5537,                 1.0646,                 1.0336,                 1.7915,              0.0012674,              0.0012674,              0.0012674
                     39,                   1.14,                 1.0166,                 1.6655,                0.96231,                0.60799,                0.75604,                0.56951,                0.97192,                  1.113,                 1.7905,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.1304,                0.99748,                  1.685,                0.90104,                   0.75,                0.87555,                0.65347,                0.88158,                0.95217,                 1.7877,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.1136,                0.98885,                 1.6288,                0.84922,                0.78571,                0.86784,                0.65547,                0.83878,                0.88728,                 1.6487,               0.001208,               0.001208,               0.001208
                     42,                 1.1048,                0.97021,                 1.6229,                0.83594,                   0.75,                0.83441,                0.61769,                0.85158,                 1.0627,                 1.6403,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.1141,                  1.003,                 1.6318,                0.87941,                0.78135,                0.88647,                0.64358,                0.86862,                0.89674,                 1.6108,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.0811,                 0.9327,                 1.6161,                 0.9391,                 0.7343,                0.91371,                0.63796,                0.94339,                0.79145,                 1.6435,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.1273,                0.94222,                 1.6293,                0.90495,                   0.75,                0.91958,                0.67603,                0.87244,                0.82605,                 1.6478,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.1257,                0.95998,                 1.6518,                0.98451,                 0.7569,                0.91523,                0.67813,                0.81154,                0.83511,                 1.5486,               0.001109,               0.001109,               0.001109
                     47,                 1.1057,                0.98997,                  1.665,                0.90805,                0.85714,                0.94318,                0.70995,                0.79551,                0.70562,                 1.5554,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.1118,                0.98577,                 1.6234,                0.90703,                0.88095,                0.94592,                0.72233,                0.76776,                0.76557,                 1.4922,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.1072,                0.96295,                 1.6213,                0.82942,                0.89286,                0.92937,                0.69804,                0.91522,                0.73689,                 1.5978,              0.0010496,              0.0010496,              0.0010496
                     50,                  1.046,                0.87851,                 1.5608,                 0.7931,                0.91667,                0.92343,                0.69124,                0.88416,                0.94075,                 1.6269,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.0356,                0.88416,                 1.5688,                0.88099,                 0.8813,                0.95302,                0.71783,                0.83569,                0.71826,                 1.5379,                0.00101,                0.00101,                0.00101
                     52,                  1.001,                0.84596,                 1.5328,                0.90252,                0.78571,                0.91117,                0.71383,                0.72736,                0.72132,                 1.4779,              0.0009902,              0.0009902,              0.0009902
                     53,                0.97934,                0.83442,                 1.5371,                      1,                0.76189,                 0.8993,                0.69126,                0.78818,                0.81414,                 1.6062,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.0009,                0.88546,                 1.5284,                0.91108,                0.77381,                0.84244,                0.64871,                0.88687,                0.93293,                 1.7453,              0.0009506,              0.0009506,              0.0009506
                     55,                0.93222,                0.77564,                 1.4734,                0.79425,                0.86905,                0.85283,                0.62517,                0.89701,                 1.2729,                 1.6259,              0.0009308,              0.0009308,              0.0009308
                     56,                0.91308,                0.80216,                  1.469,                0.85617,                0.92124,                0.93892,                0.69188,                0.77965,                0.77313,                 1.4854,               0.000911,               0.000911,               0.000911
                     57,                 1.0006,                0.87076,                 1.5329,                0.91164,                0.91667,                0.94912,                0.68616,                0.86725,                0.74308,                 1.5152,              0.0008912,              0.0008912,              0.0008912
                     58,                0.93204,                0.79102,                 1.4455,                0.91019,                0.84457,                0.91619,                0.69533,                0.77049,                0.92983,                 1.4848,              0.0008714,              0.0008714,              0.0008714
                     59,                 0.9323,                0.77299,                 1.4418,                0.90162,                0.87281,                0.94236,                0.73658,                0.72845,                0.73487,                 1.4529,              0.0008516,              0.0008516,              0.0008516
                     60,                0.97853,                0.79379,                 1.5118,                0.91175,                0.82143,                0.93634,                0.70727,                0.77478,                0.80206,                 1.5053,              0.0008318,              0.0008318,              0.0008318
                     61,                0.95123,                0.80287,                 1.4879,                 0.8886,                0.94967,                0.96491,                0.76363,                0.74652,                 0.6314,                 1.4253,               0.000812,               0.000812,               0.000812
                     62,                0.91569,                0.77926,                 1.4507,                0.89772,                0.94038,                0.96878,                0.77661,                0.63327,                0.59295,                 1.3558,              0.0007922,              0.0007922,              0.0007922
                     63,                0.88828,                 0.7359,                 1.4123,                0.95514,                0.84524,                0.96303,                0.75207,                0.77891,                0.69169,                 1.4731,              0.0007724,              0.0007724,              0.0007724
                     64,                0.89299,                0.75288,                 1.4455,                0.98695,                0.90064,                0.97757,                0.77998,                0.65037,                0.60861,                 1.4154,              0.0007526,              0.0007526,              0.0007526
                     65,                0.96319,                0.79038,                 1.4628,                0.90748,                 0.9342,                0.96995,                0.73371,                0.76679,                0.82474,                 1.5608,              0.0007328,              0.0007328,              0.0007328
                     66,                0.94255,                0.79364,                 1.4514,                0.95996,                0.94048,                0.97864,                0.78251,                0.63611,                0.57917,                 1.3369,               0.000713,               0.000713,               0.000713
                     67,                0.96025,                0.81155,                 1.4793,                 0.8741,                0.90918,                0.96779,                0.75443,                 0.6886,                0.64945,                 1.3424,              0.0006932,              0.0006932,              0.0006932
                     68,                0.87687,                0.72121,                 1.4326,                 0.9281,                0.85714,                0.96296,                0.75294,                0.65598,                 0.6302,                 1.3505,              0.0006734,              0.0006734,              0.0006734
                     69,                0.85461,                0.69802,                 1.3764,                0.97186,                0.89286,                0.97397,                0.77904,                0.66463,                 0.5721,                 1.3366,              0.0006536,              0.0006536,              0.0006536
